doc_idx,start,length,uppercase_ratio,punct_density,digit_density,byte_fallback_ratio,mean_word_len,repetition_score
0,0,523,0.0822,0.0440,0.0038,0.0000,2.38,0.0769
1,523,1259,0.0588,0.0794,0.0056,0.0000,2.09,0.0199
2,1782,331,0.0604,0.0514,0.0060,0.0000,2.09,0.0732
3,2113,1759,0.0699,0.0597,0.0352,0.0011,2.68,0.0501
4,3872,173,0.1329,0.1098,0.1387,0.0058,2.70,0.0059
5,4045,515,0.0544,0.0718,0.0078,0.0000,2.42,0.0254
6,4560,2506,0.0962,0.0507,0.0168,0.0000,2.32,0.1107
7,7066,408,0.0735,0.0662,0.0613,0.0196,2.39,0.1111
8,7474,1570,0.1096,0.0516,0.0032,0.0000,2.32,0.0689
9,9044,241,0.3071,0.1743,0.0539,0.0083,3.89,0.1681
10,9285,301,0.0698,0.0864,0.0465,0.0033,2.25,0.0403
11,9586,1183,0.1023,0.0972,0.0008,0.0000,2.22,0.0407
12,10769,16434,0.0533,0.0780,0.0032,0.0024,2.32,0.1507
13,27203,867,0.0819,0.0519,0.0138,0.0000,2.68,0.1204
14,28070,238,0.0420,0.0630,0.0000,0.0000,2.38,0.0766
15,28308,532,0.0789,0.0846,0.0056,0.0000,2.15,0.0662
16,28840,136,0.1544,0.0368,0.0000,0.0000,2.43,0.0977
17,28976,306,0.1078,0.0980,0.1176,0.0000,4.14,0.1848
18,29282,146,0.1370,0.0411,0.0000,0.0274,2.75,0.0629
19,29428,973,0.1079,0.0904,0.0380,0.0072,2.68,0.0196
20,30401,271,0.0849,0.0664,0.0369,0.0000,2.38,0.0037
21,30672,1223,0.1619,0.0433,0.0213,0.0016,3.01,0.0770
22,31895,3964,0.0510,0.0651,0.0023,0.0000,2.04,0.0507
23,35859,128,0.0859,0.0781,0.0000,0.0000,2.29,0.0400
24,35987,870,0.0506,0.0598,0.0046,0.0023,2.75,0.0542
25,36857,1016,0.0650,0.0935,0.0020,0.0020,2.11,0.0079
26,37873,913,0.0263,0.0832,0.0000,0.0000,2.96,0.1945
27,38786,438,0.0479,0.0731,0.0342,0.0091,2.43,0.0575
28,39224,995,0.0663,0.0734,0.0010,0.0000,2.25,0.0292
29,40219,6080,0.1444,0.0924,0.0285,0.0002,3.07,0.1883
30,46299,1336,0.0913,0.0629,0.0269,0.0030,2.57,0.0923
31,47635,322,0.0901,0.0776,0.0901,0.0373,2.04,0.0470
32,47957,1142,0.0552,0.0648,0.0342,0.0000,2.12,0.0334
33,49099,630,0.3952,0.1429,0.1397,0.0032,3.52,0.3844
34,49729,1126,0.0480,0.0728,0.0000,0.0027,2.07,0.0267
35,50855,1059,0.0869,0.0784,0.0246,0.0000,2.20,0.0369
36,51914,1836,0.0697,0.0594,0.0566,0.0005,2.82,0.1288
37,53750,1261,0.1229,0.0634,0.0619,0.0000,2.78,0.1924
38,55011,704,0.1548,0.0611,0.0000,0.0000,2.71,0.1041
39,55715,444,0.0968,0.0563,0.0158,0.0090,2.34,0.0635
40,56159,647,0.1267,0.0665,0.0093,0.0031,2.79,0.1149
41,56806,1673,0.0556,0.0389,0.0221,0.0000,2.54,0.1204
42,58479,319,0.2414,0.1003,0.0125,0.0063,3.10,0.0411
43,58798,459,0.0741,0.0566,0.0305,0.0000,2.62,0.0197
44,59257,468,0.0705,0.0534,0.0235,0.0000,2.36,0.0409
45,59725,1063,0.2032,0.0753,0.0160,0.0019,2.89,0.1868
46,60788,364,0.1291,0.0714,0.0055,0.0000,2.58,0.1080
47,61152,439,0.0979,0.0433,0.0273,0.0205,3.01,0.0849
48,61591,808,0.1894,0.0804,0.0359,0.0037,3.14,0.1801
49,62399,501,0.1577,0.0679,0.0220,0.0000,2.83,0.1004
50,62900,670,0.0672,0.0418,0.0493,0.0164,2.60,0.1394
51,63570,901,0.1065,0.0588,0.0144,0.0000,2.36,0.0512
52,64471,194,0.3454,0.0825,0.0000,0.0000,2.42,0.0000
53,64665,928,0.0787,0.0862,0.0248,0.0000,2.51,0.0670
54,65593,1533,0.0672,0.1076,0.0554,0.0013,2.99,0.1686
55,67126,268,0.2537,0.0746,0.0560,0.0000,3.15,0.0226
56,67394,248,0.1331,0.0685,0.0000,0.0000,2.67,0.0286
57,67642,294,0.1190,0.0544,0.0510,0.0000,2.51,0.0481
58,67936,1144,0.0927,0.0455,0.0017,0.0000,2.96,0.3628
59,69080,756,0.1151,0.0569,0.0357,0.0013,2.41,0.0425
60,69836,125,0.1600,0.0960,0.0480,0.0000,2.45,0.0000
61,69961,2590,0.1197,0.0680,0.0170,0.0015,2.65,0.0847
62,72551,222,0.1036,0.0721,0.0135,0.0000,1.96,0.0183
63,72773,966,0.0683,0.0818,0.0290,0.0021,2.58,0.0872
64,73739,971,0.0844,0.0422,0.0381,0.0000,2.48,0.0795
65,74710,562,0.1139,0.0605,0.0605,0.0071,2.88,0.1073
66,75272,180,0.0944,0.1056,0.0333,0.0056,2.37,0.0282
67,75452,357,0.2129,0.0644,0.0280,0.0000,3.05,0.0141
68,75809,2579,0.0667,0.0640,0.0120,0.0008,2.47,0.0738
69,78388,314,0.1561,0.1019,0.0223,0.0000,2.23,0.0096
70,78702,197,0.1472,0.0558,0.0000,0.0102,2.43,0.0619
71,78899,12387,0.3575,0.0637,0.0094,0.0002,3.11,0.3274
72,91286,245,0.1184,0.1061,0.0327,0.0000,2.95,0.0868
73,91531,1070,0.1645,0.1093,0.1617,0.0093,3.61,0.1631
74,92601,219,0.2146,0.0913,0.0731,0.0365,3.08,0.1528
75,92820,367,0.1144,0.0872,0.0681,0.0163,3.03,0.0302
76,93187,279,0.0645,0.0824,0.0179,0.0036,2.82,0.0254
77,93466,1100,0.0800,0.0482,0.0055,0.0000,2.51,0.1258
78,94566,608,0.2385,0.0658,0.0016,0.0049,2.74,0.0479
79,95174,523,0.1243,0.0937,0.0727,0.0000,3.27,0.2365
80,95697,1567,0.0830,0.0702,0.0057,0.0632,2.76,0.0364
81,97264,2284,0.0736,0.0543,0.0136,0.0013,2.15,0.0373
82,99548,811,0.1800,0.0888,0.0210,0.0037,3.03,0.0631
83,100359,544,0.0772,0.0551,0.0037,0.0000,1.94,0.0074
84,100903,438,0.0753,0.0868,0.0365,0.0000,2.67,0.0598
85,101341,235,0.0681,0.0596,0.0681,0.0000,2.64,0.0129
86,101576,813,0.0836,0.0369,0.0271,0.0086,2.41,0.0407
87,102389,131,0.0611,0.0534,0.0534,0.0000,2.18,0.0156
88,102520,878,0.0900,0.0763,0.0080,0.0000,2.39,0.0834
89,103398,1224,0.1315,0.0637,0.0082,0.0016,2.40,0.0319
90,104622,445,0.1056,0.0494,0.0157,0.0180,2.47,0.0520
91,105067,336,0.0804,0.0655,0.0000,0.0000,2.04,0.0631
92,105403,270,0.1185,0.0630,0.0481,0.0000,2.90,0.1311
93,105673,379,0.0633,0.0607,0.0000,0.0000,2.60,0.0080
94,106052,246,0.1179,0.0650,0.0447,0.0000,2.89,0.0247
95,106298,1079,0.1325,0.0389,0.0037,0.0019,2.13,0.0651
96,107377,1579,0.0849,0.0595,0.0285,0.0013,2.68,0.0825
97,108956,965,0.0383,0.0580,0.0207,0.0000,2.32,0.0364
98,109921,11058,0.0360,0.0604,0.0052,0.0004,2.27,0.0697
99,120979,150,0.1333,0.1200,0.0533,0.0000,2.94,0.0000
100,121129,361,0.0942,0.0526,0.0360,0.0000,2.78,0.1061
101,121490,2251,0.0689,0.0915,0.0111,0.0000,2.18,0.0552
102,123741,1260,0.0698,0.1183,0.0706,0.0000,3.00,0.1161
103,125001,161,0.0373,0.0807,0.0186,0.0000,2.18,0.0000
104,125162,1583,0.0619,0.0865,0.0013,0.0000,1.92,0.0342
105,126745,302,0.1755,0.0728,0.0000,0.0000,2.58,0.0736
106,127047,1367,0.2143,0.0827,0.0205,0.0029,2.51,0.0484
107,128414,1678,0.1895,0.0900,0.0274,0.0000,3.07,0.2328
108,130092,1082,0.0813,0.0693,0.0656,0.0000,2.68,0.0973
109,131174,821,0.0231,0.0585,0.0621,0.0037,2.41,0.0660
110,131995,2011,0.0791,0.0537,0.0134,0.0000,2.37,0.1101
111,134006,511,0.0978,0.0705,0.0470,0.0039,2.34,0.0354
112,134517,726,0.0868,0.0785,0.0110,0.0014,2.58,0.0277
113,135243,270,0.1111,0.0704,0.0444,0.0037,2.06,0.0262
114,135513,800,0.1888,0.0425,0.0238,0.0000,2.78,0.0916
115,136313,3068,0.0570,0.0596,0.0420,0.0013,2.55,0.1582
116,139381,874,0.0664,0.0435,0.0137,0.0343,2.48,0.1148
117,140255,439,0.1708,0.0569,0.0273,0.0000,2.55,0.0390
118,140694,2179,0.0642,0.0615,0.0115,0.0000,2.34,0.0827
119,142873,2186,0.0476,0.0435,0.0000,0.0009,2.38,0.0673
120,145059,225,0.1644,0.0622,0.0133,0.0000,2.74,0.1171
121,145284,2562,0.0714,0.0519,0.0008,0.0016,2.40,0.1520
122,147846,226,0.0664,0.0442,0.0000,0.0000,2.24,0.0269
123,148072,531,0.0640,0.0847,0.0188,0.0000,2.44,0.0265
124,148603,1092,0.0742,0.0696,0.0293,0.0000,2.76,0.0927
125,149695,767,0.1004,0.0626,0.0117,0.0000,2.52,0.0654
126,150462,384,0.0833,0.0911,0.0573,0.0104,2.74,0.0184
127,150846,307,0.1564,0.0945,0.0879,0.0000,2.90,0.0428
128,151153,730,0.0658,0.1356,0.2233,0.0055,2.73,0.1678
129,151883,857,0.1354,0.0817,0.0747,0.0000,2.53,0.0691
130,152740,666,0.0721,0.0796,0.0075,0.0000,2.06,0.0287
131,153406,443,0.0903,0.0564,0.0248,0.0000,2.43,0.0727
132,153849,941,0.0850,0.0595,0.0351,0.0000,2.51,0.0768
133,154790,756,0.1111,0.0463,0.0503,0.0000,2.77,0.1076
134,155546,582,0.0756,0.1048,0.0567,0.0000,2.12,0.0415
135,156128,233,0.0773,0.0773,0.0558,0.0000,2.38,0.0043
136,156361,641,0.0343,0.0577,0.0078,0.0000,1.86,0.0831
137,157002,592,0.1672,0.1588,0.0101,0.0017,3.13,0.0390
138,157594,833,0.1068,0.0768,0.0156,0.0024,2.56,0.0807
139,158427,199,0.0402,0.0905,0.0050,0.0000,2.05,0.0000
140,158626,274,0.0839,0.0438,0.0365,0.0073,2.63,0.0480
141,158900,1396,0.0487,0.0752,0.0258,0.0064,2.42,0.1788
142,160296,399,0.1003,0.0426,0.0301,0.0000,2.22,0.1162
143,160695,556,0.1349,0.0522,0.0000,0.0000,2.36,0.0470
144,161251,167,0.1018,0.0838,0.0359,0.0000,2.78,0.0732
145,161418,166,0.0723,0.0482,0.0000,0.0000,2.27,0.0123
146,161584,309,0.1165,0.0421,0.0000,0.0000,2.60,0.0359
147,161893,337,0.0653,0.0564,0.0979,0.0030,2.67,0.1078
148,162230,747,0.0696,0.0629,0.0174,0.0000,2.12,0.0376
149,162977,18076,0.0516,0.0461,0.0072,0.0008,1.98,0.1896
150,181053,1035,0.0812,0.0338,0.0000,0.0029,2.36,0.2006
151,182088,2527,0.0760,0.0598,0.0154,0.0008,2.51,0.1046
152,184615,524,0.1260,0.0954,0.0134,0.0019,2.56,0.0077
153,185139,961,0.0489,0.0645,0.0656,0.0000,2.40,0.0908
154,186100,248,0.0524,0.0887,0.0000,0.0000,2.61,0.0245
155,186348,361,0.0720,0.0609,0.0028,0.0000,2.36,0.0112
156,186709,327,0.1009,0.0887,0.0459,0.0000,2.27,0.1019
157,187036,2598,0.1671,0.1390,0.0477,0.0000,2.98,0.1645
158,189634,438,0.1119,0.0776,0.0479,0.0000,2.75,0.0667
159,190072,521,0.1574,0.0653,0.0230,0.0058,2.63,0.0212
160,190593,4104,0.0651,0.0495,0.0317,0.0000,2.42,0.0856
161,194697,4517,0.0781,0.0708,0.0133,0.0093,2.24,0.0740
162,199214,242,0.0331,0.0455,0.0455,0.0000,1.88,0.0042
163,199456,960,0.0865,0.0469,0.0177,0.0000,2.27,0.0721
164,200416,1215,0.0765,0.0609,0.0165,0.0016,2.47,0.0635
165,201631,303,0.2442,0.0594,0.0198,0.0000,2.78,0.1867
166,201934,176,0.1989,0.0682,0.0000,0.0000,2.55,0.0520
167,202110,298,0.0772,0.0638,0.0302,0.0000,2.57,0.0136
168,202408,2065,0.0557,0.0586,0.0412,0.0000,2.57,0.1285
169,204473,1457,0.0535,0.0625,0.0000,0.0000,2.16,0.0591
170,205930,574,0.1341,0.0889,0.0488,0.0157,2.83,0.1489
171,206504,288,0.1944,0.0521,0.0139,0.0035,3.10,0.0140
172,206792,327,0.0612,0.0887,0.0000,0.0000,1.95,0.0062
173,207119,2407,0.0727,0.0648,0.0170,0.0000,2.37,0.1023
174,209526,385,0.0935,0.0571,0.0312,0.0000,2.85,0.1178
175,209911,451,0.0665,0.0532,0.0133,0.0399,2.80,0.1339
176,210362,511,0.0763,0.0587,0.0098,0.0000,2.28,0.0118
177,210873,388,0.0593,0.0902,0.0077,0.0000,2.22,0.0364
178,211261,614,0.0570,0.0928,0.0179,0.0000,2.32,0.0245
179,211875,3959,0.0556,0.0424,0.0018,0.0005,2.47,0.1188
180,215834,5600,0.0802,0.0666,0.0209,0.0014,2.65,0.1637
181,221434,200,0.1350,0.0800,0.0500,0.0000,2.82,0.0254
182,221634,2023,0.1290,0.0919,0.0331,0.0015,2.45,0.0426
183,223657,834,0.0528,0.0695,0.0144,0.0000,2.05,0.0313
184,224491,434,0.0760,0.0853,0.0138,0.0000,2.31,0.0557
185,224925,911,0.1164,0.0714,0.1482,0.0044,2.70,0.2467
186,225836,601,0.2546,0.0749,0.0166,0.0000,2.67,0.0552
187,226437,992,0.1371,0.0413,0.0171,0.0000,2.29,0.0748
188,227429,351,0.0484,0.0342,0.0000,0.0000,2.29,0.1753
189,227780,404,0.0347,0.0470,0.0248,0.0000,2.51,0.0424
190,228184,437,0.0847,0.1098,0.1465,0.0046,2.77,0.0507
191,228621,302,0.0927,0.1457,0.1656,0.0033,3.39,0.0602
192,228923,170,0.0353,0.0647,0.0000,0.0000,1.98,0.0000
193,229093,158,0.0506,0.1013,0.0380,0.0000,3.16,0.0000
194,229251,1108,0.1128,0.0569,0.0280,0.0027,2.80,0.2090
195,230359,105,0.0476,0.1143,0.0000,0.0000,2.06,0.0000
196,230464,567,0.0529,0.0829,0.0035,0.0000,2.41,0.0248
197,231031,357,0.0336,0.0448,0.0000,0.0000,2.16,0.0113
198,231388,846,0.0697,0.0544,0.0000,0.0047,2.34,0.0759
199,232234,1270,0.0441,0.0425,0.0142,0.0000,2.36,0.0631
200,233504,258,0.1667,0.1085,0.0388,0.0000,2.55,0.0314
201,233762,247,0.2429,0.0931,0.0688,0.0000,2.66,0.1107
202,234009,302,0.0629,0.0762,0.0000,0.0000,2.60,0.0201
203,234311,413,0.0484,0.0775,0.0000,0.0024,2.55,0.0024
204,234724,782,0.1547,0.0806,0.0013,0.0000,3.33,0.1348
205,235506,208,0.1154,0.1010,0.1010,0.0000,2.93,0.0341
206,235714,327,0.0642,0.0612,0.0428,0.0000,2.77,0.0833
207,236041,1130,0.0381,0.0434,0.0053,0.0009,2.22,0.0382
208,237171,248,0.1290,0.0524,0.0242,0.0000,2.48,0.0000
209,237419,2270,0.0696,0.0753,0.0229,0.0009,2.44,0.1614
210,239689,262,0.1107,0.0496,0.1679,0.0000,2.28,0.2548
211,239951,351,0.1453,0.0798,0.0399,0.0000,2.24,0.0287
212,240302,734,0.1158,0.0981,0.0613,0.0027,3.02,0.1313
